FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,SE_ANNO_CAD_DATA
HUNDEZONEOGD.94389,94389,POINT (16.406137199575504 48.16410490543551),Parkanlage Löwygrube,222433 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94390,94390,POINT (16.394214414457856 48.2733311828853),Denglerpark,2691 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94391,94391,POINT (16.38855470938943 48.25737894947396),Floridsdorfer Aupark,2502 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94392,94392,POINT (16.324641675704164 48.22516494458259),Lidlpark,1215 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94393,94393,POINT (16.35925112245928 48.1720783803397),Fortunapark,400 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1,3 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94394,94394,POINT (16.353903078370873 48.174861071242255),Martin-Luther-King-Park,734 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m,1,8 m, Ziegelmauer 2 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94395,94395,POINT (16.298527136733313 48.147696230864526),Parkanlage Riegermühle,704 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 4 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94396,94396,POINT (16.35029430255721 48.23265428010613),Währinger Park,4483 m²,Hundezone,01 4000 8042,"Maschendrahtzaun 1m, Ziegelmauer 2,5m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94397,94397,POINT (16.34836659839509 48.245276462339945),Saarpark,1292 m²,Hundezone,01 4000 8042,"Gitterzaun 1,6 m teilweise",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94398,94398,POINT (16.3391346618781 48.24486705733371),Olympiapark,3582 m²,Hundezone,01 4000 8042,Gitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94399,94399,POINT (16.337528286149976 48.23445176587006),Türkenschanzpark (Gregor-Mendel-Straße),1374 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94400,94400,POINT (16.329932600967318 48.234261061555955),Türkenschanzpark (Hasenauerstraße),1844 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94401,94401,POINT (16.438630553131016 48.232089985957785),Lagerwiese Rehlacke,4355 m²,Hundezone,01 4000 8042,eingezäunt,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94402,94402,POINT (16.37801620270419 48.170513054747694),Antonspark,957 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94403,94403,POINT (16.377484042838415 48.170557349713185),Antonspark,730 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94404,94404,POINT (16.375202309746474 48.17893434917446),Parkanlage Keplerplatz,297 m²,Hundezone,01 4000 8042,Stabilgitterzaun mit 2 Toren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94405,94405,POINT (16.462224595007253 48.15673205150993),Hofgartel,1961 m²,Hundezone,01 4000 8042,"Gitterzaun, Holzzaun 1-5m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94406,94406,POINT (16.333203478135527 48.18936286538523),Parkanlage Kranzgasse,635 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94407,94407,POINT (16.37816962216694 48.24870033191785),Schmetterlingspark,385 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94408,94408,POINT (16.4375848016339 48.249356084382875),Parkanlage Schrickgasse,798 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren 1 Tor,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94409,94409,POINT (16.303685927167628 48.16998133664308),Parkanlage Fasangartengasse,896 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 2 Schwingflügeltüren, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94410,94410,POINT (16.480519740064 48.220273007670365),Grünanlage Aspernstraße,323 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94411,94411,POINT (16.333211594070942 48.239533260917085),Hugo-Wolf-Park,8169 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94412,94412,POINT (16.30197257630076 48.196192351508174),Matzner-Park,5584 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94413,94413,POINT (16.330510472652744 48.19844413687685),Reithofferpark,671 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren 2 Tore,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94414,94414,POINT (16.339829977793936 48.212795604992685),Hernalser Gürtel 2,672 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94415,94415,POINT (16.428878104344506 48.169477439596214),Parkanlage Blériotgasse,1850 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94416,94416,POINT (16.4477655571944 48.27239862421664),Parkanlage Gitlbauergasse,1983 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94417,94417,POINT (16.45001369321029 48.28713841730587),Parkanlage Illgasse,1193 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94377,94377,POINT (16.28542464820289 48.194968543813346),Gustav-Klimt-Park,179 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 1 Schwingflügeltür, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94378,94378,POINT (16.47687679319577 48.21325792599666),Parkanlage Asperner Wies´n,1313 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94379,94379,POINT (16.423841546464118 48.2777516252551),Parkanlage Pfendlergasse,965 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren 1 Tor,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94380,94380,POINT (16.30907558375052 48.1878265697868),Hadikpark,17988 m²,Hundeauslaufplatz,01 4000 8042,"Stabilgitterzaun 1m 3 Schwingflügeltüren 3 Tore, Wienflußgeländer",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94381,94381,POINT (16.339520021364333 48.172482121372674),Unter-Meidlinger Straße,2058 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94382,94382,POINT (16.287017099465917 48.15193368185283),Parkanlage Pölleritzergasse,4191 m²,Hundeauslaufplatz,01 4000 8042,"Stabilgitterzaun 1m , Chestnutzaun",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94383,94383,POINT (16.41687229797557 48.215646704953485),Parkanlage Offenbachgasse,1608 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94384,94384,POINT (16.414924137720043 48.21462365349107),Parkanlage Engerthstraße,798 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94385,94385,POINT (16.267895069906498 48.19618903316883),Parkanlage Cossmanngasse,2058 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
